"","mac","mae_scaled","within_50","within_95"
"1",0.807125,0.778266686777928,0.81,0.99
"2",0.68275,0.535861017261923,0.71,0.97
"3",0.66225,0.568522003502645,0.83,0.99
"4",0.931625,0.90171260280422,0.85,1
"5",0.78525,0.709012533313256,0.74,0.98
"6",0.8745,0.82906073192222,0.86,0.99
"7",0.877125,0.922549619404645,0.83,0.97
"8",0.776375,0.823093139952762,0.85,1
"9",0.725375,0.777209843016058,0.88,0.98
"10",0.996875,0.936120630447466,0.72,0.97
"11",0.75675,0.758911439376693,0.82,0.99
"12",0.817875,0.868610553508172,0.77,0.99
"13",0.72725,0.691461086369415,0.76,0.98
"14",0.70875,0.749191784850033,0.8,1
"15",0.755,0.83699110379299,0.81,0.98
"16",0.715375,0.631703798733807,0.81,0.99
"17",0.677375,0.622902791735557,0.82,0.98
"18",0.876875,0.856146721811301,0.75,0.99
"19",0.7905,0.745026423901093,0.77,0.99
"20",0.739,0.727120817046413,0.74,0.99
"21",0.734,0.663275718725194,0.84,1
"22",0.7735,0.720776557986326,0.82,1
"23",0.65,0.644462703026626,0.83,0.96
"24",0.879875,0.92464004721322,0.8,0.99
"25",0.659,0.598308969090287,0.77,1
"26",0.745875,0.665761735838549,0.82,1
"27",0.7815,0.872691474752174,0.81,0.98
"28",0.916875,0.869914703838778,0.82,0.99
"29",0.71825,0.743914288610458,0.84,1
"30",0.7745,0.753227649020085,0.79,0.99
"31",0.704875,0.771882882193499,0.85,0.99
"32",0.835625,0.838469740804939,0.84,0.99
"33",0.81425,0.803691618609112,0.79,0.98
"34",0.596875,0.507674427606193,0.84,0.99
"35",0.7485,0.668462192457526,0.78,1
"36",0.838625,0.822994292904454,0.86,1
"37",0.831125,0.706690990888541,0.8,0.97
"38",0.736875,0.655439245094382,0.82,0.99
"39",0.69525,0.827154248178211,0.85,0.98
"40",0.68,0.632367626711665,0.8,0.99
"41",0.78325,0.724149559926392,0.83,1
"42",0.7125,0.773195835878603,0.75,0.98
"43",0.800125,0.770217708307395,0.81,0.99
"44",0.689,0.70757014524578,0.81,0.99
"45",0.930125,0.891148134710207,0.74,1
"46",0.763875,0.788287897288682,0.82,0.98
"47",0.685375,0.750937557514931,0.82,0.98
"48",0.708,0.739145912327124,0.87,0.99
"49",0.78825,0.771005760106435,0.85,0.99
"50",0.818875,0.875228604205887,0.85,0.98
"51",0.81775,0.745189295131629,0.77,0.99
"52",0.88975,0.860556053438896,0.87,0.99
"53",0.671875,0.677006323242758,0.83,1
